Sezione,Prodotto,Prezzo

caffetteria
Caffè freddo,1.50
Caffè,1.00
Caffè decaffeinato,1.50
Caffè orzo,1.50
Caffè shakerato,2.00
Caffè nocciola,2.00
Caffè le 5 vele,2.00
Caffè crema,3.00
Caffè crema fior di latte,3.00
Caffè con panna,2.00
Caffè macchiato,1.30
Cappuccino,2.00
Latte macchiato,1.50
Latte,1.50
Cioccolata calda,2.00
The caldo,2.00

bibite
Coca Cola lattina,3.00
Fanta lattina,3.00
Sprite,3.00
Aranciata amara,3.00
Shweppes limone,3.00
Shweppes arancia,3.00
Gassosa,3.00
The al limone,3.00
The alla pesca,3.00
Chinotto,3.00
Cedrata,3.00
Red Bull,3.00
Gatorade,3.00
Lemon soda,3.00
Oran soda,3.00
Aperol soda,3.50
Campari soda,3.50
Acqua bott. piccola,1.00
Acqua bott. grande,2.00
Succhi di frutta,3.00
Granite con sciroppi,2.50
Granite di Limone,3.00
Orzata,2.00
Menta,2.00

snacks
patatine, 2.00
patatine in tubo, 3.00

panini
Pomodori, 5.00

ristorante
Pasta con vongole, 9.00


birre
Heineken 0.33 cl,3.00
Heineken 0.66 cl,4.00
Paulaner,4.00
Tennens,4.00
Corona,4.00
Ceres,4.00
Beck’s,3.50
Peroni,2.50

cocktails
Campari e Gin,6.00
Spritz,5.00
Aper Tassoni,3.00
Gin Tonic, 6.00
Gin Tonic con Gin Mare, 9.00

alcolici
Limoncello,3.00
Crema di limone,3.00
Prosecco,4.00
Brachetto,3.00
Grappa bianca,4.00
Grappa scura,4.00
Grappa 18 lune,6.00
Whisky,4.00
Rum Classico,5.00
Rum Zacapa,6.00
Rum Diplomatico,6.00
Contreau,3.50
Bayleis,3.50
Martini,3.50
Gin,3.50
Sambuca,3.50
Vodka liscia,3.00
Vodka non liscia,3.50
Tequila,3.00
Amari,3.50

vino a calice
Bianchi,5.00
Gewurtztraminer,6.00
Vignolella - Fiano,5.00
Falanghina,5.00
Rossi,5.00
Pietralena,5.00
Aglianico Campania IGP,5.00


